2022-12-29 14:48:02 | INFO     | DF | Running on torch 1.13.0+cu117
2022-12-29 14:48:02 | INFO     | DF | Running on host desktop-manjaro
2022-12-29 14:48:02 | INFO     | DF | Loading model settings of output
2022-12-29 14:48:02 | INFO     | DF | Running on device cuda:0
2022-12-29 14:48:02 | INFO     | DF | Initializing model `deepfilternet`
2022-12-29 14:48:04 | INFO     | DF | Initializing dataloader with data directory /home/peterrc/Documents/train
2022-12-29 14:48:04 | INFO     | DF | Loading HDF5 key cache from /home/peterrc/Documents/train/.cache_dataset.cfg
2022-12-29 14:48:04 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 14:48:04 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 14:48:04 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 14:54:16 | INFO     | DF | [0] [ 4900/19999] | loss:  0.01766 | lr:  1.327E-04
2022-12-29 14:54:24 | INFO     | DF | [0] [ 5000/19999] | loss:  0.01697 | lr:  1.333E-04
2022-12-29 14:54:31 | INFO     | DF | [0] [ 5100/19999] | loss:  0.02005 | lr:  1.340E-04
2022-12-29 14:54:39 | INFO     | DF | [0] [ 5200/19999] | loss:  0.02076 | lr:  1.347E-04
2022-12-29 14:54:46 | INFO     | DF | [0] [ 5300/19999] | loss:  0.01759 | lr:  1.353E-04
2022-12-29 14:54:54 | INFO     | DF | [0] [ 5400/19999] | loss:  0.01743 | lr:  1.360E-04
2022-12-29 14:55:02 | INFO     | DF | [0] [ 5500/19999] | loss:  0.01413 | lr:  1.367E-04
2022-12-29 14:55:09 | INFO     | DF | [0] [ 5600/19999] | loss:  0.01613 | lr:  1.373E-04
2022-12-29 14:55:17 | INFO     | DF | [0] [ 5700/19999] | loss:  0.01498 | lr:  1.380E-04
2022-12-29 14:55:24 | INFO     | DF | [0] [ 5800/19999] | loss:  0.01550 | lr:  1.387E-04
2022-12-29 14:55:32 | INFO     | DF | [0] [ 5900/19999] | loss:  0.01431 | lr:  1.393E-04
2022-12-29 14:55:40 | INFO     | DF | [0] [ 6000/19999] | loss:  0.01724 | lr:  1.400E-04
2022-12-29 14:55:47 | INFO     | DF | [0] [ 6100/19999] | loss:  0.01380 | lr:  1.407E-04
2022-12-29 14:55:55 | INFO     | DF | [0] [ 6200/19999] | loss:  0.01241 | lr:  1.413E-04
2022-12-29 14:56:03 | INFO     | DF | [0] [ 6300/19999] | loss:  0.01362 | lr:  1.420E-04
2022-12-29 14:56:10 | INFO     | DF | [0] [ 6400/19999] | loss:  0.01547 | lr:  1.427E-04
2022-12-29 14:56:18 | INFO     | DF | [0] [ 6500/19999] | loss:  0.01588 | lr:  1.433E-04
2022-12-29 14:56:25 | INFO     | DF | [0] [ 6600/19999] | loss:  0.01462 | lr:  1.440E-04
2022-12-29 14:56:33 | INFO     | DF | [0] [ 6700/19999] | loss:  0.01569 | lr:  1.447E-04
2022-12-29 14:56:41 | INFO     | DF | [0] [ 6800/19999] | loss:  0.01751 | lr:  1.453E-04
2022-12-29 14:56:48 | INFO     | DF | [0] [ 6900/19999] | loss:  0.01320 | lr:  1.460E-04
2022-12-29 14:56:55 | INFO     | DF | [0] [ 7000/19999] | loss:  0.01494 | lr:  1.467E-04
2022-12-29 14:57:03 | INFO     | DF | [0] [ 7100/19999] | loss:  0.01320 | lr:  1.473E-04
2022-12-29 14:57:10 | INFO     | DF | [0] [ 7200/19999] | loss:  0.01510 | lr:  1.480E-04
2022-12-29 14:57:18 | INFO     | DF | [0] [ 7300/19999] | loss:  0.01046 | lr:  1.487E-04
2022-12-29 14:57:25 | INFO     | DF | [0] [ 7400/19999] | loss:  0.01580 | lr:  1.493E-04
2022-12-29 14:57:33 | INFO     | DF | [0] [ 7500/19999] | loss:  0.01170 | lr:  1.500E-04
2022-12-29 14:57:41 | INFO     | DF | [0] [ 7600/19999] | loss:  0.01669 | lr:  1.507E-04
2022-12-29 14:57:48 | INFO     | DF | [0] [ 7700/19999] | loss:  0.01257 | lr:  1.513E-04
2022-12-29 14:57:56 | INFO     | DF | [0] [ 7800/19999] | loss:  0.01298 | lr:  1.520E-04
2022-12-29 14:58:04 | INFO     | DF | [0] [ 7900/19999] | loss:  0.01335 | lr:  1.527E-04
2022-12-29 14:58:11 | INFO     | DF | [0] [ 8000/19999] | loss:  0.01295 | lr:  1.533E-04
2022-12-29 14:58:19 | INFO     | DF | [0] [ 8100/19999] | loss:  0.01328 | lr:  1.540E-04
2022-12-29 14:58:26 | INFO     | DF | [0] [ 8200/19999] | loss:  0.01237 | lr:  1.547E-04
2022-12-29 14:58:34 | INFO     | DF | [0] [ 8300/19999] | loss:  0.01599 | lr:  1.553E-04
2022-12-29 14:58:42 | INFO     | DF | [0] [ 8400/19999] | loss:  0.01161 | lr:  1.560E-04
2022-12-29 14:58:49 | INFO     | DF | [0] [ 8500/19999] | loss:  0.01436 | lr:  1.567E-04
2022-12-29 14:58:57 | INFO     | DF | [0] [ 8600/19999] | loss:  0.01169 | lr:  1.573E-04
2022-12-29 14:59:05 | INFO     | DF | [0] [ 8700/19999] | loss:  0.01181 | lr:  1.580E-04
2022-12-29 14:59:12 | INFO     | DF | [0] [ 8800/19999] | loss:  0.01278 | lr:  1.587E-04
2022-12-29 14:59:20 | INFO     | DF | [0] [ 8900/19999] | loss:  0.01252 | lr:  1.593E-04
2022-12-29 14:59:28 | INFO     | DF | [0] [ 9000/19999] | loss:  0.01324 | lr:  1.600E-04
2022-12-29 14:59:36 | INFO     | DF | [0] [ 9100/19999] | loss:  0.01264 | lr:  1.607E-04
2022-12-29 14:59:43 | INFO     | DF | [0] [ 9200/19999] | loss:  0.01395 | lr:  1.613E-04
2022-12-29 14:59:51 | INFO     | DF | [0] [ 9300/19999] | loss:  0.01393 | lr:  1.620E-04
2022-12-29 14:59:59 | INFO     | DF | [0] [ 9400/19999] | loss:  0.01674 | lr:  1.627E-04
2022-12-29 15:00:07 | INFO     | DF | [0] [ 9500/19999] | loss:  0.01551 | lr:  1.633E-04
2022-12-29 15:00:14 | INFO     | DF | [0] [ 9600/19999] | loss:  0.00995 | lr:  1.640E-04
2022-12-29 15:00:22 | INFO     | DF | [0] [ 9700/19999] | loss:  0.01787 | lr:  1.647E-04
2022-12-29 15:00:30 | INFO     | DF | [0] [ 9800/19999] | loss:  0.01274 | lr:  1.653E-04
2022-12-29 15:00:37 | INFO     | DF | [0] [ 9900/19999] | loss:  0.01123 | lr:  1.660E-04
2022-12-29 15:00:45 | INFO     | DF | [0] [10000/19999] | loss:  0.01488 | lr:  1.667E-04
2022-12-29 15:00:52 | INFO     | DF | [0] [10100/19999] | loss:  0.01098 | lr:  1.673E-04
2022-12-29 15:01:00 | INFO     | DF | [0] [10200/19999] | loss:  0.01072 | lr:  1.680E-04
2022-12-29 15:01:07 | INFO     | DF | [0] [10300/19999] | loss:  0.01069 | lr:  1.687E-04
2022-12-29 15:01:15 | INFO     | DF | [0] [10400/19999] | loss:  0.01387 | lr:  1.693E-04
2022-12-29 15:01:22 | INFO     | DF | [0] [10500/19999] | loss:  0.01059 | lr:  1.700E-04
2022-12-29 15:01:30 | INFO     | DF | [0] [10600/19999] | loss:  0.01470 | lr:  1.707E-04
2022-12-29 15:01:37 | INFO     | DF | [0] [10700/19999] | loss:  0.01062 | lr:  1.713E-04
2022-12-29 15:01:45 | INFO     | DF | [0] [10800/19999] | loss:  0.01113 | lr:  1.720E-04
2022-12-29 15:01:53 | INFO     | DF | [0] [10900/19999] | loss:  0.01012 | lr:  1.727E-04
2022-12-29 15:02:00 | INFO     | DF | [0] [11000/19999] | loss:  0.00927 | lr:  1.733E-04
2022-12-29 15:02:08 | INFO     | DF | [0] [11100/19999] | loss:  0.01390 | lr:  1.740E-04
2022-12-29 15:02:15 | INFO     | DF | [0] [11200/19999] | loss:  0.01274 | lr:  1.747E-04
2022-12-29 15:02:23 | INFO     | DF | [0] [11300/19999] | loss:  0.01208 | lr:  1.753E-04
2022-12-29 15:02:31 | INFO     | DF | [0] [11400/19999] | loss:  0.01210 | lr:  1.760E-04
2022-12-29 15:02:38 | INFO     | DF | [0] [11500/19999] | loss:  0.01051 | lr:  1.767E-04
2022-12-29 15:02:46 | INFO     | DF | [0] [11600/19999] | loss:  0.01137 | lr:  1.773E-04
2022-12-29 15:02:54 | INFO     | DF | [0] [11700/19999] | loss:  0.01117 | lr:  1.780E-04
2022-12-29 15:03:01 | INFO     | DF | [0] [11800/19999] | loss:  0.01122 | lr:  1.787E-04
2022-12-29 15:03:09 | INFO     | DF | [0] [11900/19999] | loss:  0.01084 | lr:  1.793E-04
2022-12-29 15:03:17 | INFO     | DF | [0] [12000/19999] | loss:  0.01899 | lr:  1.800E-04
2022-12-29 15:03:25 | INFO     | DF | [0] [12100/19999] | loss:  0.01237 | lr:  1.807E-04
2022-12-29 15:03:32 | INFO     | DF | [0] [12200/19999] | loss:  0.01053 | lr:  1.813E-04
2022-12-29 15:03:40 | INFO     | DF | [0] [12300/19999] | loss:  0.01084 | lr:  1.820E-04
2022-12-29 15:03:48 | INFO     | DF | [0] [12400/19999] | loss:  0.00976 | lr:  1.827E-04
2022-12-29 15:03:56 | INFO     | DF | [0] [12500/19999] | loss:  0.01041 | lr:  1.833E-04
2022-12-29 15:04:04 | INFO     | DF | [0] [12600/19999] | loss:  0.00967 | lr:  1.840E-04
2022-12-29 15:04:11 | INFO     | DF | [0] [12700/19999] | loss:  0.01146 | lr:  1.847E-04
2022-12-29 15:04:19 | INFO     | DF | [0] [12800/19999] | loss:  0.01004 | lr:  1.853E-04
2022-12-29 15:04:27 | INFO     | DF | [0] [12900/19999] | loss:  0.00827 | lr:  1.860E-04
2022-12-29 15:04:34 | INFO     | DF | [0] [13000/19999] | loss:  0.00972 | lr:  1.867E-04
2022-12-29 15:04:42 | INFO     | DF | [0] [13100/19999] | loss:  0.01150 | lr:  1.873E-04
2022-12-29 15:04:50 | INFO     | DF | [0] [13200/19999] | loss:  0.00931 | lr:  1.880E-04
2022-12-29 15:04:58 | INFO     | DF | [0] [13300/19999] | loss:  0.00997 | lr:  1.887E-04
2022-12-29 15:05:05 | INFO     | DF | [0] [13400/19999] | loss:  0.00832 | lr:  1.893E-04
2022-12-29 15:05:13 | INFO     | DF | [0] [13500/19999] | loss:  0.00899 | lr:  1.900E-04
2022-12-29 15:05:21 | INFO     | DF | [0] [13600/19999] | loss:  0.01117 | lr:  1.907E-04
2022-12-29 15:05:29 | INFO     | DF | [0] [13700/19999] | loss:  0.00928 | lr:  1.913E-04
2022-12-29 15:05:37 | INFO     | DF | [0] [13800/19999] | loss:  0.00958 | lr:  1.920E-04
2022-12-29 15:05:45 | INFO     | DF | [0] [13900/19999] | loss:  0.00900 | lr:  1.927E-04
2022-12-29 15:05:53 | INFO     | DF | [0] [14000/19999] | loss:  0.01078 | lr:  1.933E-04
2022-12-29 15:06:01 | INFO     | DF | [0] [14100/19999] | loss:  0.00920 | lr:  1.940E-04
2022-12-29 15:06:09 | INFO     | DF | [0] [14200/19999] | loss:  0.00918 | lr:  1.947E-04
2022-12-29 15:06:17 | INFO     | DF | [0] [14300/19999] | loss:  0.00860 | lr:  1.953E-04
2022-12-29 15:06:25 | INFO     | DF | [0] [14400/19999] | loss:  0.01098 | lr:  1.960E-04
2022-12-29 15:06:32 | INFO     | DF | [0] [14500/19999] | loss:  0.00904 | lr:  1.967E-04
