2022-12-29 11:29:11 | INFO     | DF | Running on torch 1.13.0+cu117
2022-12-29 11:29:11 | INFO     | DF | Running on host desktop-manjaro
2022-12-29 11:29:11 | INFO     | DF | Loading model settings of output
2022-12-29 11:29:11 | INFO     | DF | Running on device cuda:0
2022-12-29 11:29:11 | INFO     | DF | Initializing model `deepfilternet`
2022-12-29 11:29:13 | INFO     | DF | Initializing dataloader with data directory /home/peterrc/Documents/train/
2022-12-29 11:29:13 | INFO     | DF | Loading HDF5 key cache from /home/peterrc/Documents/train/.cache_dataset.cfg
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:34:19 | INFO     | DF | [0] [ 4700/19999] | loss:  0.01689 | lr:  1.313E-04
2022-12-29 11:34:25 | INFO     | DF | [0] [ 4800/19999] | loss:  0.01798 | lr:  1.320E-04
2022-12-29 11:34:32 | INFO     | DF | [0] [ 4900/19999] | loss:  0.01717 | lr:  1.327E-04
2022-12-29 11:34:38 | INFO     | DF | [0] [ 5000/19999] | loss:  0.01853 | lr:  1.333E-04
2022-12-29 11:34:45 | INFO     | DF | [0] [ 5100/19999] | loss:  0.02271 | lr:  1.340E-04
2022-12-29 11:34:51 | INFO     | DF | [0] [ 5200/19999] | loss:  0.02089 | lr:  1.347E-04
2022-12-29 11:34:58 | INFO     | DF | [0] [ 5300/19999] | loss:  0.01751 | lr:  1.353E-04
2022-12-29 11:35:04 | INFO     | DF | [0] [ 5400/19999] | loss:  0.02086 | lr:  1.360E-04
2022-12-29 11:35:10 | INFO     | DF | [0] [ 5500/19999] | loss:  0.01553 | lr:  1.367E-04
2022-12-29 11:35:17 | INFO     | DF | [0] [ 5600/19999] | loss:  0.02099 | lr:  1.373E-04
2022-12-29 11:35:24 | INFO     | DF | [0] [ 5700/19999] | loss:  0.01577 | lr:  1.380E-04
2022-12-29 11:35:31 | INFO     | DF | [0] [ 5800/19999] | loss:  0.01663 | lr:  1.387E-04
2022-12-29 11:35:37 | INFO     | DF | [0] [ 5900/19999] | loss:  0.01553 | lr:  1.393E-04
2022-12-29 11:35:44 | INFO     | DF | [0] [ 6000/19999] | loss:  0.02083 | lr:  1.400E-04
2022-12-29 11:35:51 | INFO     | DF | [0] [ 6100/19999] | loss:  0.01455 | lr:  1.407E-04
2022-12-29 11:35:57 | INFO     | DF | [0] [ 6200/19999] | loss:  0.01369 | lr:  1.413E-04
2022-12-29 11:36:03 | INFO     | DF | [0] [ 6300/19999] | loss:  0.01447 | lr:  1.420E-04
2022-12-29 11:36:10 | INFO     | DF | [0] [ 6400/19999] | loss:  0.01674 | lr:  1.427E-04
2022-12-29 11:36:17 | INFO     | DF | [0] [ 6500/19999] | loss:  0.01756 | lr:  1.433E-04
2022-12-29 11:36:24 | INFO     | DF | [0] [ 6600/19999] | loss:  0.01573 | lr:  1.440E-04
2022-12-29 11:36:31 | INFO     | DF | [0] [ 6700/19999] | loss:  0.01835 | lr:  1.447E-04
2022-12-29 11:36:37 | INFO     | DF | [0] [ 6800/19999] | loss:  0.01627 | lr:  1.453E-04
